Station	Latitude	Longitude	Area
02AA002	48.072	-89.533	389.00
02AB001	48.556	-89.589	3630.00
02AB002	48.546	-89.624	2850.00
02AB003	48.492	-89.600	6790.00
02AB004	48.708	-89.633	3760.00
02AB005	48.543	-89.783	2560.00
02AB006	48.532	-89.595	6470.00
02AB006	48.532	-89.595	6470.00
02AB006	48.532	-89.595	6470.00
02AB007	48.368	-89.565	7740.00
02AB008	48.383	-89.307	187.00
02AB008	48.383	-89.307	187.00
02AB008	48.383	-89.307	187.00
02AB009	48.556	-89.682	2800.00
02AB010	48.416	-89.631	6710.00
02AB011	48.620	-90.062	NA
02AB012	48.608	-90.456	174.00
02AB013	48.657	-90.418	526.00
02AB014	48.520	-89.175	105.00
02AB014	48.520	-89.175	105.00
02AB015	48.536	-89.236	492.00
02AB016	48.419	-89.265	145.00
02AB017	48.292	-89.810	226.00
02AB017	48.292	-89.810	226.00
02AB017	48.292	-89.810	226.00
02AB018	48.410	-89.217	NA
02AB019	48.449	-89.219	45.60
02AB019	48.449	-89.219	45.60
02AB020	48.483	-89.325	83.10
02AB020	48.483	-89.325	83.10
02AB020	48.483	-89.325	83.10
02AB021	48.562	-89.241	407.00
02AB021	48.562	-89.241	407.00
02AB021	48.562	-89.241	407.00
02AB022	48.429	-89.546	42.60
02AB022	48.429	-89.546	42.60
02AB023	48.326	-89.404	181.00
02AB023	48.326	-89.404	181.00
02AB024	48.443	-89.358	54.20
02AB024	48.443	-89.358	54.20
02AB025	48.346	-89.360	7740.00
02AB025	48.346	-89.360	7740.00
02AB026	48.346	-89.386	8100.00
02AB027	48.359	-89.604	581.00
02AC001	48.822	-88.535	726.00
02AC001	48.822	-88.535	726.00
02AC001	48.822	-88.535	726.00
02AC002	48.904	-88.377	2980.00
02AC002	48.904	-88.377	2980.00
02AC002	48.904	-88.377	2980.00
02AD002	49.150	-88.333	23600.00
02AD003	49.369	-88.144	NA
02AD006	49.417	-88.217	24500.00
02AD007	49.434	-88.132	NA
02AD008	49.308	-88.311	24600.00
02AD009	50.638	-88.208	NA
02AD010	49.598	-87.965	652.00
02AD010	49.598	-87.965	652.00
02AD011	49.764	-87.768	2190.00
02AD012	49.123	-88.358	24700.00
02AD012	49.123	-88.358	24700.00
02AE001	48.926	-87.690	608.00
02AE001	48.926	-87.690	608.00
02AE001	48.926	-87.690	608.00
02BA002	48.778	-86.884	1190.00
02BA002	48.778	-86.884	1190.00
02BA003	48.849	-86.607	1320.00
02BA003	48.849	-86.607	1320.00
02BA003	48.849	-86.607	1320.00
02BA004	48.834	-87.520	NA
02BA005	48.978	-87.377	10.80
02BA005	48.978	-87.377	10.80
02BA005	48.978	-87.377	10.80
02BA006	48.814	-86.859	1190.00
02BA006	48.814	-86.859	1190.00
02BB002	48.689	-86.213	1980.00
02BB002	48.689	-86.213	1980.00
02BB002	48.689	-86.213	1980.00
02BB003	48.774	-86.297	4220.00
02BB003	48.774	-86.297	4220.00
02BB003	48.774	-86.297	4220.00
02BB004	48.705	-85.908	210.00
02BB004	48.705	-85.908	210.00
02BC002	48.667	-85.700	2400.00
02BC003	48.700	-85.633	NA
02BC003	48.700	-85.633	NA
02BC004	48.655	-85.742	4160.00
02BC004	48.655	-85.742	4160.00
02BC004	48.655	-85.742	4160.00
02BC005	48.061	-85.803	533.00
02BC005	48.061	-85.803	533.00
02BC005	48.061	-85.803	533.00
02BC006	48.160	-85.731	407.00
02BC006	48.160	-85.731	407.00
02BC007	48.693	-85.642	NA
02BC008	48.588	-85.891	4210.00
02BC008	48.588	-85.891	4210.00
02BD001	48.068	-84.741	1640.00
02BD002	47.911	-84.743	5310.00
02BD003	47.939	-84.831	1930.00
02BD003	47.939	-84.831	1930.00
02BD004	47.962	-84.898	NA
02BD005	48.480	-84.533	702.00
02BD006	47.989	-84.768	31.40
02BD006	47.989	-84.768	31.40
02BD007	48.022	-84.813	1950.00
02BD007	48.022	-84.813	1950.00
02BE001	47.275	-84.433	2850.00
02BE002	47.214	-84.619	2880.00
02BF001	47.004	-84.516	1230.00
02BF001	47.004	-84.516	1230.00
02BF001	47.004	-84.516	1230.00
02BF002	46.861	-83.972	1140.00
02BF002	46.861	-83.972	1140.00
02BF002	46.861	-83.972	1140.00
02BF003	46.531	-84.397	18.60
02BF004	46.516	-84.465	51.00
02BF004	46.516	-84.465	51.00
02BF004	46.516	-84.465	51.00
02BF005	47.063	-84.431	10.40
02BF005	47.063	-84.431	10.40
02BF006	47.051	-84.413	8.03
02BF006	47.051	-84.413	8.03
02BF007	47.045	-84.410	5.05
02BF007	47.045	-84.410	5.05
02BF008	47.046	-84.403	4.08
02BF008	47.046	-84.403	4.08
02BF009	47.058	-84.400	2.04
02BF009	47.058	-84.400	2.04
02BF010	46.529	-84.586	NA
02BF011	46.512	-84.367	NA
02BF012	47.063	-84.393	1.15
02BF012	47.063	-84.393	1.15
02BF013	47.042	-84.417	0.07
02BF013	47.042	-84.417	0.07
02BF014	46.717	-84.285	1830.00
02BF014	46.717	-84.285	1830.00
02CA001	46.509	-84.362	210000.00
02CA002	46.563	-84.282	109.00
02CA002	46.563	-84.282	109.00
02CA002	46.563	-84.282	109.00
02CA003	46.533	-84.131	NA
02CA004	46.496	-84.284	NA
02CA005	46.511	-84.343	NA
02CA006	46.254	-83.551	NA
02CA007	46.530	-83.710	272.00
02CA007	46.530	-83.710	272.00
02CB001	46.912	-83.211	4040.00
02CB002	46.867	-83.155	2150.00
02CB002	46.867	-83.155	2150.00
02CB003	46.968	-83.417	1450.00
02CB003	46.968	-83.417	1450.00
02CC002	46.279	-83.224	9040.00
02CC003	46.254	-83.185	9250.00
02CC004	46.244	-83.156	9270.00
02CC005	46.394	-83.283	1970.00
02CC005	46.394	-83.283	1970.00
02CC006	46.414	-83.393	7100.00
02CC007	46.435	-83.385	6840.00
02CC008	46.201	-83.025	9260.00
02CC008	46.201	-83.025	9260.00
02CC008	46.201	-83.025	9260.00
02CC009	46.316	-83.291	9010.00
02CC010	46.581	-82.968	1210.00
02CC010	46.581	-82.968	1210.00
02CD001	46.211	-82.512	1350.00
02CD001	46.211	-82.512	1350.00
02CD001	46.211	-82.512	1350.00
02CD002	46.481	-82.648	109.00
02CD003	46.486	-82.481	319.00
02CD004	46.374	-82.438	567.00
02CD005	46.500	-82.521	99.50
02CD006	46.512	-82.600	157.00
02CD006	46.512	-82.600	157.00
02CD007	46.353	-82.644	4.58
02CD008	46.388	-82.582	2.09
02CD009	46.387	-82.572	2.76
02CD010	46.382	-82.579	3.01
02CE001	46.268	-81.772	11400.00
02CE002	46.215	-82.071	1340.00
02CE002	46.215	-82.071	1340.00
02CE002	46.215	-82.071	1340.00
02CE003	46.264	-81.874	NA
02CE004	46.381	-81.569	6800.00
02CE007	46.430	-81.600	40.60
02CE007	46.430	-81.600	40.60
02CE103	46.408	-81.578	41.20
02CF001	46.394	-81.282	3600.00
02CF001	46.394	-81.282	3600.00
02CF002	46.333	-81.350	4070.00
02CF004	46.315	-81.522	4190.00
02CF005	46.479	-81.010	87.00
02CF005	46.479	-81.010	87.00
